time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2020-07-29 09:07:39.395 UTC, , ,1,3,1, , , , ,589,3207389,60400,672, ,14, ,136,12,0.09,1, , , , , ,1,14,7, , ,1,11,9,8, ,24,11, , , , , , , , , , , , , ,1936261,746,1933505,1933505, , , , ,1936723,481990189056,5,5,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1936723,1596013598962,,, , , , , , , , , ,3145728,1936693,43,43,22,43, , ,25,2,2,3,2, ,3,5, ,25,1,4096,2,110,1, , , ,40586,26,295,1, , , , , , ,1,36,137621504,-1, , , , , , ,45, , , , , ,9, , , , , , , , , , , , , , , , , , , , , , ,1, ,1, , ,8,1,1,1,1,2,3,4, , , , 
2020-07-29 09:08:39.403 UTC, , , , , , , , , ,589,3207389,60400,672, ,14, , , , , , , , , , ,1,14,7, , , ,11,9,8, , , , , , , , , , , , , , , , ,1936261,746,1933505,1933505, , , , ,1936723,481990180864,5,5,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1936723,1596013598962,,, , , , , , , , , ,3145728,1936693,0,0,0,0, , , , , , , , ,3,2, , ,1, , , , , , , , , , , , , , , , , , , ,138670080,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
2020-07-29 09:09:39.419 UTC, , , , , , , , , ,589,3207389,60400,672, ,14, , , , , , , , , , ,1,14,7, , , ,11,9,8, , , , , , , , , , , , , , , , ,1936261,746,1933505,1933505, , , , ,1936723,481990180864,5,5,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1936723,1596013598962,,, , , , , , , , , ,3145728,1936693,105,105,52,105, , , , , , , , ,3,4, , ,1, , , , , , , , , , , , , , , , , , , ,138670080,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
2020-07-29 09:10:39.438 UTC, , , , , , , , , ,589,3207389,60400,672, ,14, , , , , , , , , , ,1,14,7, , , ,11,9,8, , , , , , , , , , , , , , , , ,1936261,746,1933505,1933505, , , , ,1936723,481990180864,5,5,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1936723,1596013598962,,, , , , , , , , , ,3145728,1936693,26,26,17,26, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,138670080,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
2020-07-29 09:11:39.453 UTC, , , , , , , , , ,589,3207389,60400,672, ,14, , , , , , , , , , ,1,14,7, , , ,11,9,8, , , , , , , , , , , , , , , , ,1936261,746,1933505,1933505, , , , ,1936723,481990180864,5,5,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1936723,1596013598962,,, , , , , , , , , ,3145728,1936693,61,61,42,61, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,139718656,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
2020-07-29 09:12:39.468 UTC, , , , , , , , , ,589,3207389,60400,672, ,14, , , , , , , , , , ,1,14,7, , , ,11,9,8, , , , , , , , , , , , , , , , ,1936261,746,1933505,1933505, , , , ,1936723,481990180864,5,5,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1936723,1596013598962,,, , , , , , , , , ,3145728,1936693,21,21,7,21, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,140767232,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
2020-07-29 09:13:10.995 UTC, , , , , , , , , ,125,3185397,39544, , ,11,3,65,11,0.17,3, , , , , ,2,11,6, ,7,1,10,9,6, ,1537,759, , , , , , , , , , , , , ,1939364,747,1936795,1936795,1,3,1,5,1939421,481990168576,5,5,5,5, , , , , ,237,14667, , , , , , , , , , , , , , , , , , , , , , , , , ,1939421,1596013990270,,, , , , , , , , , ,3145728,1939364,70,70,35,70, , ,779,1,1,4,1, ,3,2, ,779, ,12439,8,2698,1, , , ,4062330,1257, , , , , , , , ,17,219,247636992,-1, , , , , , ,48, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-07-29 09:14:11.006 UTC, , ,1,2, , , , , ,589,3208749,61760,672, ,14, ,138,12,0.09, , , , , , , ,14,7, , ,2,10,9,8, ,25,11, , , , , , , , , , , , , ,1939364,747,1936795,1936795, , , , ,1939826,481990152192,5,5,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1939826,1596013990270,,, , , , , , , , , ,3145728,1939796,65,65,36,65, , ,26,2,2,3,2, ,3,5, ,26,1,4096,2,110,1, , , ,42634,27,295,1, , , , , , ,1,45,112142336,-1, , , , , , ,46, , , , , ,9, , , , , , , , , , , , , , , , , , , , , , ,1, ,1, , ,8,1,1,1,1,2,3,4, , , , 
2020-07-29 09:15:11.014 UTC, , , , , , , , , ,589,3208749,61760,672, ,14, , , , , , , , , , , ,14,7, , , ,10,9,8, , , , , , , , , , , , , , , , ,1939364,747,1936795,1936795, , , , ,1939826,481990152192,5,5,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1939826,1596013990270,,, , , , , , , , , ,3145728,1939796,98,98,39,98, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,113190912,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
2020-07-29 09:15:59.005 UTC, , , , , , , , , ,125,3185397,39544, , ,11,3,65,11,0.17,3, , , , , ,2,11,6, ,7,1,10,9,6, ,1539,760, , , , , , , , , , , , , ,1942734,748,1939898,1939898,1,3,2,7,1942791,481990148096,5,5,5,5, , , , , ,237,14685, , , , , , , , , , , , , , , , , , , , , , , , , ,1942791,1596014158601,,, , , , , , , , , ,3145728,1942734,57,57,28,57, , ,780,1,1,4,1, ,3,2, ,780, ,12435,8,2965,1, , , ,4062430,1258, , , , , , , , ,17,214,319644672,-1, , , , , , ,48, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
